							
#TOWN	도적마을						
182	96	ALL					
							
							
#FIELD	돈황던젼	donwhang					
1	128	ALL					
							
#FIELD	돈황던젼이벤트	donwhang_event					
9	128	ALL					
							
							
#FIELD	진시황릉456	jinsi					
2	128	ALL					
3	128	ALL					
4	128	ALL					
#FIELD	진시황릉3	jinsi					
5	128	ALL					
#FIELD	진시황릉12	jinsi					
6	128	ALL					
7	128	ALL					
							
							
#TOWN	요새_장안						
69	69	ALL					
69	70	ALL					
70	69	ALL					
70	70	ALL					
71	69	ALL					
71	70	ALL					
72	69	ALL					
72	70	ALL					
73	69	ALL					
73	70	ALL					
							
							
#FIELD	요새_장안필드						
69	67	ALL					
69	68	ALL					
70	67	ALL					
70	68	ALL					
71	67	ALL					
71	68	ALL					
72	67	ALL					
72	68	ALL					
73	67	ALL					
73	68	ALL					
							
							
#TOWN	요새_비적						
78	67	RECT	520	0	1920	1920	
78	68	RECT	520	0	1920	1920	
78	69	RECT	520	0	1920	120	
79	67	ALL					
79	68	ALL					
79	69	RECT	0	0	1920	120	
80	67	RECT	0	0	680	1920	
80	68	RECT	0	0	680	1920	
80	69	RECT	0	0	680	120	
							
							
#FIELD	요새_비적필드						
77	67	ALL					
77	68	ALL					
77	69	ALL					
77	70	ALL					
78	67	ALL					
78	68	ALL					
78	69	ALL					
78	70	ALL					
79	69	ALL					
79	70	ALL					
80	67	ALL					
80	68	ALL					
80	69	ALL					
80	70	ALL					
							
#TOWN	요새_호탄						
69	64	ALL					
70	64	ALL					
71	64	ALL					
69	63	ALL					
70	63	ALL					
71	63	ALL					
69	62	ALL					
70	62	ALL					
71	62	ALL					
69	61	ALL					
70	61	ALL					
71	61	ALL					
69	60	ALL					
70	60	ALL					
72	60	ALL					
71	60	ALL					
69	59	ALL					
70	59	ALL					
71	59	ALL					
71	58	ALL					
70	58	RECT	0	0	400	600	
69	58	ALL					
							
#FIELD	요새_호탄필드						
68	64	ALL					
72	64	ALL					
68	63	ALL					
72	63	ALL					
68	62	ALL					
72	62	ALL					
68	61	ALL					
72	61	ALL					
68	60	ALL					
72	60	RECT	0	0	1920	1200	
68	59	ALL					
72	59	ALL					
68	58	ALL					
69	58	RECT	0	0	1920	1380	
70	58	ALL					
71	58	RECT	0	0	1920	1460	
72	58	ALL					
68	57	ALL					
69	57	ALL					
70	57	ALL					
71	57	ALL					
72	57	ALL					
							
							
#TOWN	장안						
167	96	RECT	0	1600	1920	1600	
167	97	ALL					
167	98	ALL					
167	99	RECT	0	220	1920	220	
168	96	RECT	0	1600	1920	1600	
168	97	ALL					
168	98	ALL					
168	99	RECT	0	220	1920	220	
169	96	RECT	0	1600	1720	1600	
169	97	ALL					
169	98	ALL					
169	99	RECT	0	220	1720	0	
							
							
#FIELD	장안필드						
182	89	ALL					
156	90	ALL					
156	91	ALL					
156	92	ALL					
156	93	ALL					
156	94	ALL					
157	90	ALL					
157	91	ALL					
157	92	ALL					
157	93	ALL					
157	94	ALL					
157	95	ALL					
157	96	ALL					
158	89	ALL					
158	90	ALL					
158	91	ALL					
158	92	ALL					
158	93	ALL					
158	94	ALL					
158	95	ALL					
158	96	ALL					
158	97	ALL					
159	89	ALL					
159	90	ALL					
159	91	ALL					
159	92	ALL					
159	93	ALL					
159	94	ALL					
159	95	ALL					
159	96	ALL					
159	97	ALL					
160	90	ALL					
160	91	ALL					
160	92	ALL					
160	93	ALL					
160	94	ALL					
160	95	ALL					
160	96	ALL					
160	97	ALL					
161	90	ALL					
161	91	ALL					
161	92	ALL					
161	93	ALL					
161	94	ALL					
161	95	ALL					
161	96	ALL					
161	97	ALL					
162	90	ALL					
162	91	ALL					
162	92	ALL					
162	93	ALL					
162	94	ALL					
162	95	ALL					
162	96	ALL					
162	97	ALL					
162	98	ALL					
163	90	ALL					
163	91	ALL					
163	92	ALL					
163	93	ALL					
163	94	ALL					
163	95	ALL					
163	96	ALL					
163	97	ALL					
163	98	ALL					
163	99	ALL					
164	90	ALL					
164	91	ALL					
164	92	ALL					
164	93	ALL					
164	94	ALL					
164	95	ALL					
164	96	ALL					
164	97	ALL					
164	98	ALL					
164	99	ALL					
165	91	ALL					
165	92	ALL					
165	93	ALL					
165	94	ALL					
165	95	ALL					
165	96	ALL					
165	97	ALL					
165	98	ALL					
165	99	ALL					
165	100	ALL					
165	101	ALL					
166	91	ALL					
166	92	ALL					
166	93	ALL					
166	94	ALL					
166	95	ALL					
166	96	ALL					
166	97	ALL					
166	98	ALL					
166	99	ALL					
166	100	ALL					
166	101	ALL					
167	91	ALL					
167	92	ALL					
